bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_166,"Seville Street, Knightsbridge",51.501855,-0.159237,17,7,27,True,False
BikePoints_167,"Eccleston Place, Victoria",51.49395,-0.147624,5,11,19,True,False
BikePoints_168,"Argyll Road, Kensington",51.500401,-0.195455,1,15,19,True,False
BikePoints_169,"Porchester Place, Paddington",51.514746,-0.165164,9,5,18,True,False
BikePoints_170,"Hardwick Street, Clerkenwell",51.527842,-0.108068,22,6,30,True,False
BikePoints_171,"Collingham Gardens, Earl's Court",51.491615,-0.186753,11,2,14,True,False
BikePoints_172,"Sumner Place, South Kensington",51.491211,-0.173715,7,12,19,True,False
BikePoints_173,"Waterloo Road, South Bank",51.50486,-0.113001,14,0,15,True,False
BikePoints_175,"Worship Street, Shoreditch",51.521668,-0.079608,1,44,51,True,False
BikePoints_176,"Gloucester Terrace, Bayswater",51.517919,-0.188098,3,16,23,True,False
BikePoints_177,"Ashley Place, Victoria",51.49616,-0.140947,4,19,25,True,False
BikePoints_178,"Warwick Square, Pimlico",51.489856,-0.141923,16,0,19,True,False
BikePoints_180,"North Audley Street, Mayfair",51.512911,-0.153645,0,17,17,True,False
BikePoints_181,"Belgrave Square, Belgravia",51.499412,-0.152317,11,10,21,True,False
BikePoints_182,"Bell Street , Marylebone",51.522029,-0.165842,8,8,18,True,False
BikePoints_183,"Riverlight North, Nine Elms",51.482362,-0.136123,10,11,24,True,False
BikePoints_184,"Portland Place, Marylebone",51.520715,-0.145211,0,33,34,True,False
BikePoints_185,"Alderney Street, Pimlico",51.488057,-0.140741,13,0,14,True,False
BikePoints_186,"South Wharf Road, Paddington",51.517335,-0.17581,10,1,16,True,False
BikePoints_187,"Queen's Gate (South), South Kensington",51.492479,-0.178433,10,13,25,True,False
BikePoints_188,"Nutford Place, Marylebone",51.516517,-0.164393,8,9,18,True,False
BikePoints_189,"Claremont Square, Angel",51.531666,-0.109914,12,1,18,True,False
BikePoints_190,"Rampayne Street, Pimlico",51.489975,-0.132845,13,7,21,True,False
BikePoints_191,"Hyde Park Corner, Hyde Park",51.503117,-0.15352,25,9,36,True,False
