name,latitude,longitude,transport_type
Ruislip Manor Station,51.57332,-0.41298,tube_station
Ruislip Station,51.57158,-0.42133,tube_station
Russell Square Station,51.52318,-0.12435,tube_station
Ravenscourt Park Station,51.49406,-0.23656,tube_station
Ravenscourt Park Station,51.49397,-0.23633,tube_station
Roding Valley,51.61734,0.04355,tube_station
Roding Valley,51.61685,0.04388,tube_station
Rayners Lane Station,51.57495,-0.37076,tube_station
Royal Oak,51.51911,-0.18878,tube_station
Shepherd's Bush Station,51.50462,-0.21814,tube_station
Shepherd's Bush Station,51.50501,-0.21782,tube_station
Shepherd's Bush Market,51.5057,-0.22627,tube_station
Shepherd's Bush Market,51.50575,-0.22654,tube_station
South Ealing Station,51.50138,-0.30685,tube_station
Stamford Brook Station,51.49499,-0.24678,tube_station
Stamford Brook Station,51.49495,-0.24497,tube_station
Southfields Station,51.44486,-0.20654,tube_station
Southfields Station,51.44509,-0.20636,tube_station
Stepney Green Station,51.5218,-0.04661,tube_station
Southgate Station,51.63232,-0.12806,tube_station
Southgate Station,51.63255,-0.12786,tube_station
South Harrow Station,51.56491,-0.35259,tube_station
South Harrow Station,51.56479,-0.35281,tube_station
St James's Park Station,51.49962,-0.13313,tube_station
St James's Park Station,51.49906,-0.13534,tube_station
St James's Park Station,51.49964,-0.13365,tube_station
St James's Park Station,51.49937,-0.13336,tube_station
St John's Wood Station,51.53454,-0.17415,tube_station
South Kensington Station,51.49384,-0.17304,tube_station
South Kensington Station,51.49407,-0.1741,tube_station
South Kensington Station,51.4942,-0.17409,tube_station
South Kensington Station,51.4947,-0.17349,tube_station
South Kensington Station,51.49567,-0.17377,tube_station
Stockwell Station,51.47225,-0.12266,tube_station
Stockwell Station,51.47244,-0.12283,tube_station
Snaresbrook Station,51.58103,0.02143,tube_station
Snaresbrook Station,51.58113,0.02152,tube_station
Snaresbrook Station,51.58126,0.02161,tube_station
Snaresbrook Station,51.58094,0.02184,tube_station
St Paul's Station,51.51512,-0.09713,tube_station
St Paul's Station,51.51494,-0.09758,tube_station
Sloane Square Station,51.49249,-0.15663,tube_station
Sloane Square Station,51.49217,-0.15625,tube_station
Stanmore Station,51.61973,-0.30317,tube_station
Stanmore Station,51.61983,-0.30181,tube_station
Stanmore Station,51.61964,-0.30365,tube_station
Sudbury Hill,51.55623,-0.33626,tube_station
Sudbury Hill,51.55701,-0.33607,tube_station
Sudbury Town Station,51.55037,-0.31592,tube_station
Sudbury Town Station,51.55095,-0.31558,tube_station
Swiss Cottage Stn  /  Finchley Road,51.5436,-0.17511,tube_station
Swiss Cottage Station,51.54325,-0.17474,tube_station
Swiss Cottage Stn  /  Finchley Road,51.54352,-0.17588,tube_station
Swiss Cottage Station,51.5433,-0.1744,tube_station
Swiss Cottage Stn  /  Finchley Road,51.54366,-0.17469,tube_station
South Woodford Station,51.59193,0.02769,tube_station
South Woodford Station,51.59218,0.02725,tube_station
Southwark Station,51.50375,-0.10469,tube_station
South Wimbledon Station,51.41527,-0.19251,tube_station
Totteridge & Whetstone Stn,51.63018,-0.17928,tube_station
Tooting Bec Station,51.43549,-0.15946,tube_station
Tooting Bec Station,51.43576,-0.15972,tube_station
Tooting Bec Station,51.43545,-0.15951,tube_station
Tooting Bec Station,51.43574,-0.15952,tube_station
Tooting Broadway Station,51.42793,-0.16809,tube_station
Tottenham Court Road Station,51.51625,-0.13062,tube_station
Tottenham Court Road Station,51.51657,-0.13016,tube_station
Tottenham Court Road Station,51.51589,-0.12984,tube_station
Tottenham Court Road Station,51.51628,-0.13,tube_station
Tufnell Park Station,51.55672,-0.13816,tube_station
Tufnell Park Station,51.55685,-0.13801,tube_station
Temple Station,51.51101,-0.11397,tube_station
Turnham Green Station,51.49538,-0.25521,tube_station
Turnpike Lane Station,51.59048,-0.1029,tube_station
Turnpike Lane Station,51.59057,-0.10262,tube_station
Turnpike Lane Station,51.59056,-0.10362,tube_station
Turnpike Lane Station,51.59023,-0.1035,tube_station
Tower Hill,51.5102,-0.07681,tube_station
Tower Hill,51.50983,-0.07648,tube_station
Upminster Bridge Station,51.55901,0.23587,tube_station
Upton Park Station,51.53548,0.03521,tube_station
Upton Park Station,51.53534,0.03529,tube_station
Upton Park Station,51.53523,0.03517,tube_station
Upney Station,51.53849,0.10156,tube_station
Uxbridge Station,51.54605,-0.47922,tube_station
Uxbridge Station,51.54642,-0.47876,tube_station
Victoria Station,51.49555,-0.14197,tube_station
Victoria Station,51.49686,-0.14176,tube_station
Vauxhall,51.48631,-0.12458,tube_station
Vauxhall,51.48584,-0.12364,tube_station
Vauxhall,51.486,-0.12327,tube_station
Vauxhall,51.4856,-0.12463,tube_station
Vauxhall,51.48517,-0.12439,tube_station
Vauxhall,51.48569,-0.12327,tube_station
White City Station,51.51196,-0.22474,tube_station
West Finchley Station,51.60958,-0.18863,tube_station
West Finchley Station,51.60817,-0.18817,tube_station
West Hampstead Station,51.54677,-0.19102,tube_station
West Harrow Station,51.58015,-0.35312,tube_station
West Harrow Station,51.57991,-0.35299,tube_station
Willesden Green Station,51.54924,-0.22094,tube_station
Willesden Green Station,51.54905,-0.22124,tube_station
Wimbledon Park,51.43462,-0.19962,tube_station
Warwick Avenue Station,51.52336,-0.18366,tube_station
Warwick Avenue Station,51.52313,-0.18415,tube_station
West Kensington Station,51.4907,-0.20686,tube_station
Wood Lane,51.50967,-0.2245,tube_station
Woodford Station,51.60744,0.03359,tube_station
Woodford Station,51.60752,0.03469,tube_station
Wood Green Station,51.5973,-0.10997,tube_station
Woodside Park Station,51.61795,-0.18516,tube_station
Woodside Park Station,51.61798,-0.18575,tube_station
Warren Street Station,51.52457,-0.13799,tube_station
Warren Street Stn / Tottenham Court Rd,51.5245,-0.13808,tube_station
Wanstead Station,51.57559,0.02832,tube_station
Wanstead Station  / George Green,51.57524,0.02826,tube_station
Westminster Station,51.50125,-0.12377,tube_station
Westminster Station,51.50095,-0.12495,tube_station
Westminster Station,51.50086,-0.12383,tube_station
Westminster Station,51.50125,-0.12607,tube_station
Westminster Station,51.50126,-0.12651,tube_station
Westminster Station,51.50115,-0.12386,tube_station
Westbourne Park Station,51.5209,-0.20067,tube_station
West Acton Station,51.51789,-0.28108,tube_station
Wembley Park Station,51.56326,-0.2792,tube_station
Wembley Park Station,51.56297,-0.27976,tube_station
Wembley Park Station,51.56298,-0.27946,tube_station
Battersea Power Station Underground Station,51.479932,-0.142142,tube_station
Acton Town Underground Station,51.503057,-0.280462,tube_station
Acton Town Underground Station,51.50289,-0.280079,tube_station
Acton Town Underground Station,51.502844,-0.280009,tube_station
Acton Town Underground Station,51.502806,-0.279924,tube_station
Acton Town Underground Station,51.50276,-0.279853,tube_station
Archway Underground Station,51.565478,-0.134819,tube_station
Archway Underground Station,51.565178,-0.134586,tube_station
Archway Station,51.564626,-0.134969,tube_station
Aldgate East Underground Station,51.515037,-0.072384,tube_station
Aldgate East Underground Station,51.515434,-0.071358,tube_station
Aldgate East Underground Station,51.515477,-0.071255,tube_station
Angel Underground Station,51.532624,-0.105898,tube_station
Angel Underground Station,51.53186,-0.10593,tube_station
Angel Station,51.531788,-0.105919,tube_station
Aldgate Underground Station,51.514246,-0.075689,tube_station
Aldgate Underground Station,51.51419,-0.075547,tube_station
Aldgate Underground Station,51.514144,-0.075506,tube_station
Aldgate Underground Station,51.51409,-0.075465,tube_station
Aldgate Underground Station,51.514044,-0.075423,tube_station
Alperton Underground Station,51.540627,-0.29961,tube_station
